,LOSS,ACCURACY,EPOCH
0,1.9112835273742677,38.06,1
1,1.5572531142234802,56.61000000000001,2
2,1.2702598690986633,68.19,3
3,1.1717879837751388,69.57,4
4,1.1028220084905624,71.46000000000001,5
5,1.071792145371437,74.78,6
6,1.0090141159296036,70.67,7
7,1.0308360411524773,75.49,8
8,1.0148585802316665,79.97999999999999,9
9,0.9967026274204254,62.18,10
10,0.9869457191228866,78.01,11
11,0.9676391898393631,81.36,12
12,0.9406347907185555,68.94,13
13,0.9597879507541657,78.96,14
14,0.9222420419454574,70.37,15
15,0.9546567463874817,77.38000000000001,16
16,0.931969382584095,76.24,17
17,0.9113789082765579,70.67999999999999,18
18,0.9110409850478173,71.47,19
19,0.8919850327968597,78.69,20
20,0.9092014837861061,79.66,21
21,0.9085461214184761,76.06,22
22,0.9174633994102478,78.8,23
23,0.8936665935516357,79.42,24
24,0.9130719630122185,79.47,25
25,0.8863368591666222,79.17999999999999,26
26,0.8907420794963836,69.55,27
27,0.8717978079319,78.39,28
28,0.8583614374995232,82.07,29
29,0.8773966838717461,82.12,30
30,0.8882579801082611,75.98,31
31,0.8882468912601471,80.83,32
32,0.847020872950554,83.11,33
33,0.8496956488490105,81.81,34
34,0.8779696210026741,81.98,35
35,0.8630743660926818,80.10000000000001,36
36,0.8759963828325271,80.53,37
37,0.8695431573987007,76.77000000000001,38
38,0.9093278203606605,80.32000000000001,39
39,0.884275847196579,81.13,40
40,0.8812821146249771,78.05,41
41,0.8589297233223915,76.82,42
42,0.8874337528944015,80.92,43
43,0.8707476188540458,81.05,44
44,0.8739989846348762,82.54,45
45,0.8862542467713356,78.07,46
46,0.8705904958844185,78.2,47
47,0.8592810874581337,82.54,48
48,0.8654840043783187,81.08,49
49,0.6608364349901676,91.10000000000001,50
50,0.6790174802243709,91.38,51
51,0.6106701896935701,91.47,52
52,0.6166235509067773,91.96,53
53,0.5907501208335161,91.75999999999999,54
54,0.5783535855859518,91.77,55
55,0.591895998775959,91.99000000000001,56
56,0.5917414513379335,91.86999999999999,57
57,0.5549720062911511,92.01,58
58,0.5599371304512024,91.58,59
59,0.564469542041421,91.96,60
60,0.5501128158271312,91.85,61
61,0.5227267622873187,91.66,62
62,0.5239039263799786,91.9,63
63,0.5539327539727091,91.05,64
64,0.5728696208521724,91.43,65
65,0.5418378793410957,91.51,66
66,0.5028266770616173,90.68,67
67,0.5402568806707859,90.55,68
68,0.5716776966154575,91.42,69
69,0.48218684978783133,91.12,70
70,0.5396143800541758,92.06,71
71,0.5447200770974159,90.7,72
72,0.5128538999035954,91.0,73
73,0.5403092461675405,91.2,74
74,0.5446433627456426,90.46,75
75,0.5549941469430923,91.01,76
76,0.554017464928329,91.33,77
77,0.48157217365130783,90.68,78
78,0.5237907719016075,90.67,79
79,0.481479818765074,93.10000000000001,80
80,0.41529871966689824,93.47999999999999,81
81,0.47228720546886327,93.44,82
82,0.46383654918521644,93.74,83
83,0.49388540630973876,93.78,84
84,0.4316093068160117,93.78,85
85,0.4464201645608991,93.76,86
86,0.4422684368211776,93.83,87
87,0.444422749504447,93.74,88
88,0.42163703237660227,93.84,89
89,0.4091706633977592,93.88,90
90,0.4171677491348237,93.94,91
91,0.43855849055200813,93.62,92
92,0.41657745466008783,93.8,93
93,0.3877943607009947,93.85,94
94,0.4189185417313129,93.8,95
95,0.41414250910654665,94.02000000000001,96
96,0.4038854945637286,93.89,97
97,0.4522677360661328,93.84,98
98,0.4091305997855961,93.86,99
99,0.43091893938183784,93.96,100
