,epoch,accuracy,loss
0,1,49.17,149.41448521614075
1,2,57.18,108.92382204532623
2,3,59.64,92.50140225887299
3,4,66.75,81.98309171199799
4,5,72.8,73.85526186227798
5,6,73.13,68.71349585056305
6,7,68.57,64.67538690567017
7,8,71.09,61.633391082286835
8,9,66.31,58.42875498533249
9,10,75.92,55.57996717095375
10,11,75.83,53.54981479048729
11,12,75.05,52.140098720788956
12,13,78.12,49.94087854027748
13,14,79.56,48.56929603219032
14,15,84.78999999999999,39.85530534386635
15,16,85.14,37.43133354187012
16,17,85.19,36.103209763765335
17,18,85.09,35.381046026945114
18,19,85.0,34.80234515666962
19,20,85.2,34.00384923815727
20,21,85.08,33.503467440605164
21,22,84.95,33.12884867191315
22,23,85.37,32.7500961124897
23,24,85.65,31.430162385106087
24,25,85.8,31.143861770629883
25,26,85.7,31.28784580528736
26,27,85.86,31.00907653570175
27,28,85.71,30.84526002407074
28,29,85.85000000000001,30.939680755138397
29,30,85.89,30.728981509804726
