,epoch,accuracy,loss
0,1,47.19,151.49409425258636
1,2,58.540000000000006,115.79311633110046
2,3,60.650000000000006,104.17108595371246
3,4,60.62,95.60073292255402
4,5,66.75,90.45399540662766
5,6,62.150000000000006,85.74269449710846
6,7,67.28,82.98954594135284
7,8,66.09,80.41412597894669
8,9,70.7,78.88991612195969
9,10,56.85,76.47531539201736
10,11,69.81,75.80256021022797
11,12,71.44,74.11940568685532
12,13,70.52000000000001,73.07919323444366
13,14,69.33,71.71737253665924
14,15,76.98,65.22574132680893
15,16,77.14,62.86357498168945
16,17,77.02,62.02937567234039
17,18,77.69,61.475336849689484
18,19,77.22,61.131336867809296
19,20,77.71000000000001,60.707599103450775
20,21,77.84,60.341249376535416
21,22,77.78,59.993490278720856
22,23,78.25,59.94723826646805
23,24,78.21000000000001,58.76075890660286
24,25,78.18,58.728056490421295
25,26,78.49000000000001,58.680942714214325
26,27,78.39,58.56497177481651
27,28,78.25999999999999,58.428239315748215
28,29,78.25999999999999,58.68692487478256
29,30,78.29,58.317003667354584
