,epoch,accuracy,loss
0,1,58.06,147.4113885164261
1,2,56.10000000000001,107.7266258597374
2,3,67.97,90.59339344501495
3,4,64.38000000000001,80.00870686769485
4,5,74.68,73.65303355455399
5,6,67.09,67.18481332063675
6,7,68.66,64.40494322776794
7,8,73.39,60.33151340484619
8,9,75.5,56.900162160396576
9,10,71.00999999999999,54.65278169512749
10,11,76.85,52.391647547483444
11,12,63.94,49.6261026263237
12,13,77.64999999999999,48.19635736942291
13,14,77.47,46.86410716176033
14,15,84.91,37.62000626325607
15,16,85.72,34.00220936536789
16,17,85.56,33.2387401163578
17,18,85.77,32.32750165462494
18,19,85.89,31.418156027793884
19,20,86.22999999999999,30.805017948150635
20,21,85.69,30.389069512486458
21,22,85.7,29.832393869757652
22,23,86.26,29.49833995103836
23,24,86.32,28.180303245782852
24,25,86.42999999999999,27.7553843408823
25,26,86.47,27.757038861513138
26,27,86.41,27.521635815501213
27,28,86.46000000000001,27.48647513985634
28,29,86.39,27.380129501223564
29,30,86.52,27.308764025568962
