,epoch,accuracy,loss
0,1,45.73,147.18423795700073
1,2,57.410000000000004,107.63733553886414
2,3,61.14000000000001,90.19149112701416
3,4,63.83,79.19569683074951
4,5,69.75,71.83401346206665
5,6,69.51,66.56114614009857
6,7,72.55,62.09356778860092
7,8,72.11,58.7059608399868
8,9,77.47,55.807052344083786
9,10,73.96000000000001,53.33317273855209
10,11,79.02,50.81300267577171
11,12,72.54,48.83543452620506
12,13,79.9,46.86801517009735
13,14,66.53,45.96023255586624
14,15,85.83,36.40265455842018
15,16,85.76,33.20585918426514
16,17,86.08,31.760648548603058
17,18,86.14,30.89674834907055
18,19,85.92,30.10125944018364
19,20,86.32,29.69178156554699
20,21,86.59,29.084193274378777
21,22,86.47,28.409895330667496
22,23,86.45,27.97427873313427
23,24,87.16000000000001,26.761105969548225
24,25,87.2,26.285947039723396
25,26,87.03,26.100768566131592
26,27,87.14,26.15112942457199
27,28,87.09,25.987958759069443
28,29,87.13,26.04209068417549
29,30,86.99,25.84408025443554
