,epoch,accuracy,loss
0,1,60.31999999999999,101.27954089641571
1,2,61.99,78.57093894481659
2,3,68.78,68.10251432657242
3,4,69.32000000000001,61.44183927774429
4,5,75.78,55.93096908926964
5,6,78.83,51.317700296640396
6,7,72.99,47.83569613099098
7,8,79.91,45.10182282328606
8,9,77.74,43.335560351610184
9,10,79.77,41.24845403432846
10,11,80.56,40.14202845096588
11,12,71.67,38.11342349648476
12,13,78.0,36.77482381463051
13,14,79.59,36.16863429546356
14,15,86.85000000000001,27.894730284810066
15,16,87.68,25.381505385041237
16,17,87.22,24.26808002591133
17,18,87.55,23.654416158795357
18,19,87.77000000000001,23.134527936577797
19,20,87.6,22.248497426509857
20,21,87.72,21.809671595692635
21,22,87.83,21.716483145952225
22,23,87.76,21.200040355324745
23,24,88.35,19.981015399098396
24,25,88.3,19.80813992023468
25,26,88.48,19.724906101822853
26,27,88.4,19.78478802740574
27,28,88.29,19.41772548854351
28,29,88.28,19.387726366519928
29,30,88.39,19.182508647441864
