,epoch,accuracy,loss
0,1,62.56,116.18559807538986
1,2,66.16,78.42180317640305
2,3,69.34,63.020488142967224
3,4,68.73,56.09165468811989
4,5,75.06,51.19501721858978
5,6,79.05,46.04011580348015
6,7,80.58,43.19490057229996
7,8,80.35,41.202646702528
8,9,80.13,39.892133325338364
9,10,80.93,39.23001942038536
10,11,76.09,37.27573409676552
11,12,76.99000000000001,37.110650300979614
12,13,82.17999999999999,36.57138413190842
13,14,80.08999999999999,36.03075137734413
14,15,86.7,29.606525376439095
15,16,87.1,27.283339738845825
16,17,87.16000000000001,26.80064307153225
17,18,87.22999999999999,26.409959375858307
18,19,87.0,25.991689056158066
19,20,87.26,25.76671116054058
20,21,87.03999999999999,25.52106399834156
21,22,87.25,25.053039759397507
22,23,87.08,25.058973029255867
23,24,87.46000000000001,24.27760910987854
24,25,87.29,24.027343347668648
25,26,87.37,23.964720353484154
26,27,87.45,24.011552944779396
27,28,87.37,24.088554248213768
28,29,87.42999999999999,23.976337358355522
29,30,87.38,23.96768218278885
