,epoch,accuracy,loss
0,1,52.6,92.07842248678207
1,2,73.37,64.2860496044159
2,3,72.21,53.966901898384094
3,4,79.0,48.743156880140305
4,5,74.38,44.22910317778587
5,6,69.23,40.990802615880966
6,7,83.21,38.59248769283295
7,8,79.14,35.94466891884804
8,9,82.80999999999999,34.64741960167885
9,10,75.26,33.08925488591194
10,11,82.57,32.14740005135536
11,12,82.61,31.342222794890404
12,13,84.67,30.952573865652084
13,14,81.86,30.01670603454113
14,15,87.94,23.386267840862274
15,16,88.12,20.81254869699478
16,17,88.09,20.081765845417976
17,18,88.14,19.554764732718468
18,19,88.53999999999999,18.866797596216202
19,20,88.42999999999999,18.508762791752815
20,21,88.33,18.408023715019226
21,22,88.44999999999999,17.76955373585224
22,23,88.32,17.756899386644363
23,24,88.77000000000001,16.97173909842968
24,25,88.67,16.739997267723083
25,26,88.68,16.595311909914017
26,27,88.79,16.674306258559227
27,28,88.67,16.585112281143665
28,29,88.75,16.56559159606695
29,30,88.8,16.504816703498363
