,epoch,accuracy,loss
0,1,52.05,135.108882188797
1,2,61.27,107.0732752084732
2,3,64.66,96.95455408096313
3,4,68.55,89.19229620695114
4,5,68.97999999999999,85.77101266384125
5,6,70.21,83.10481959581375
6,7,67.49000000000001,80.43216359615326
7,8,71.35000000000001,78.0596706867218
8,9,71.38,75.95439904928207
9,10,71.05,75.54458314180374
10,11,69.34,75.17537713050842
11,12,72.71,74.31037151813507
12,13,71.27,73.1856220960617
13,14,71.7,71.98006284236908
14,15,77.02,66.49765533208847
15,16,78.03999999999999,64.73196280002594
16,17,77.73,64.34245359897614
17,18,77.95,63.52569329738617
18,19,78.14,63.07661181688309
19,20,78.38000000000001,63.095022678375244
20,21,77.85,62.661869406700134
21,22,78.21000000000001,62.87825030088425
22,23,78.0,62.54990917444229
23,24,78.59,61.825838178396225
24,25,78.64999999999999,62.03048449754715
25,26,78.67,61.82412111759186
26,27,78.48,61.703798949718475
27,28,78.59,61.48205900192261
28,29,78.67,61.352494060993195
29,30,78.59,61.50650805234909
