,epoch,accuracy,loss
0,1,48.17,157.8293823003769
1,2,51.470000000000006,131.46904230117798
2,3,57.620000000000005,123.85237956047058
3,4,58.13,117.99075102806091
4,5,53.68000000000001,115.42130899429321
5,6,51.459999999999994,112.24621796607971
6,7,57.82000000000001,109.90727442502975
7,8,60.019999999999996,108.97683972120285
8,9,61.660000000000004,107.749951004982
9,10,62.29,106.77741950750351
10,11,61.59,105.45479261875153
11,12,62.739999999999995,104.8163805603981
12,13,59.72,104.01033371686935
13,14,60.870000000000005,103.12895977497101
14,15,66.92,97.93059486150742
15,16,66.62,96.34164124727249
16,17,66.93,95.90883940458298
17,18,67.17999999999999,95.64152437448502
18,19,67.22,95.38555890321732
19,20,67.19000000000001,94.82996940612793
20,21,67.23,94.60027158260345
21,22,67.4,94.68123120069504
22,23,67.31,94.59500116109848
23,24,67.88,94.01788407564163
24,25,67.77,93.8722476363182
25,26,67.97999999999999,93.78034853935242
26,27,67.86999999999999,93.68353140354156
27,28,67.93,93.67882686853409
28,29,67.92,93.49285215139389
29,30,67.78999999999999,93.53729397058487
