,epoch,accuracy,loss
0,1,60.81999999999999,107.49998104572296
1,2,66.45,87.84749376773834
2,3,70.22,76.65166801214218
3,4,71.34,69.48501771688461
4,5,73.78,63.79669386148453
5,6,75.25,59.17210453748703
6,7,71.97,55.33937558531761
7,8,75.36,52.845589488744736
8,9,77.34,50.16512647271156
9,10,79.10000000000001,47.86001828312874
10,11,74.64,46.060408025979996
11,12,77.8,44.75296434760094
12,13,78.42,42.41981261968613
13,14,81.43,40.63101425766945
14,15,86.68,32.43753829598427
15,16,86.66,29.150287985801697
16,17,87.06,27.954098790884018
17,18,86.91,27.285747230052948
18,19,87.21,26.422773733735085
19,20,87.08,25.81788858771324
20,21,87.03,25.285121709108353
21,22,87.22999999999999,24.748509243130684
22,23,87.39,24.470725923776627
23,24,87.83,23.301803201436996
24,25,87.92,22.79470007121563
25,26,87.92999999999999,22.754515007138252
26,27,87.79,22.702145963907242
27,28,87.92,22.42378181219101
28,29,87.97,22.406837597489357
29,30,87.92999999999999,22.377492651343346
