,epoch,accuracy,loss
0,1,58.64,95.11228728294373
1,2,74.13,69.34837806224823
2,3,73.78,58.77215713262558
3,4,72.03,52.962141275405884
4,5,71.13000000000001,47.08537110686302
5,6,80.31,43.30964258313179
6,7,79.79,41.49202424287796
7,8,80.49,39.22594830393791
8,9,78.32000000000001,37.28431832790375
9,10,80.44,35.94865894317627
10,11,80.7,34.32293400168419
11,12,79.55,33.50489556789398
12,13,80.52,33.27888414263725
13,14,80.17999999999999,31.915623128414154
14,15,88.0,24.716892197728157
15,16,87.8,22.208046346902847
16,17,88.18,21.26908750832081
17,18,88.37,20.585088849067688
18,19,88.17,19.955539599061012
19,20,88.36,19.476999297738075
20,21,88.66000000000001,19.211602479219437
21,22,88.4,18.84831441938877
22,23,88.13,18.60833314061165
23,24,88.81,17.72519238293171
24,25,88.64,17.335048869252205
25,26,88.67,17.458012476563454
26,27,88.67,17.513011060655117
27,28,88.83,17.735485762357712
28,29,88.62,17.37369330227375
29,30,88.8,17.192430034279823
