,epoch,accuracy,loss
0,1,57.14,139.84637582302094
1,2,53.26,112.42456293106079
2,3,63.519999999999996,104.59070128202438
3,4,60.86,99.50482058525085
4,5,63.28,95.84574109315872
5,6,63.92,94.52686655521393
6,7,66.86999999999999,92.6584906578064
7,8,66.34,90.57980239391327
8,9,66.36999999999999,89.03681290149689
9,10,68.31,88.65258419513702
10,11,65.64999999999999,88.33555060625076
11,12,67.57,87.34989833831787
12,13,69.51,86.93224334716797
13,14,64.18,85.71095806360245
14,15,72.5,80.84171575307846
15,16,72.28,79.32608860731125
16,17,72.96000000000001,79.19459116458893
17,18,72.61,78.76158046722412
18,19,73.17,78.5287896990776
19,20,72.86,78.45181095600128
20,21,72.55,78.011285841465
21,22,72.74000000000001,77.79841089248657
22,23,73.04,77.81622391939163
23,24,73.05,77.31687724590302
24,25,73.2,76.96797281503677
25,26,73.15,76.97652208805084
26,27,73.25,76.90192675590515
27,28,73.14,76.9052671790123
28,29,73.11999999999999,76.81332224607468
29,30,73.03,76.90053123235703
