,epoch,accuracy,loss
0,1,59.040000000000006,94.77216976881027
1,2,65.8,63.58113491535187
2,3,70.95,52.66511097550392
3,4,68.7,46.00241521000862
4,5,79.84,41.889052361249924
5,6,80.38,39.00328692793846
6,7,80.07,35.955802381038666
7,8,80.44,34.49997165799141
8,9,80.15,32.42431764304638
9,10,78.48,32.373504772782326
10,11,81.84,30.977769568562508
11,12,82.55,29.78984823822975
12,13,82.47,30.07614341378212
13,14,79.91,29.661163717508316
14,15,87.85,22.884163320064545
15,16,87.99,20.568569898605347
16,17,88.23,19.774642258882523
17,18,88.14,19.064632207155228
18,19,88.34,18.7949628084898
19,20,88.46000000000001,18.33656118810177
20,21,88.44,18.04030305147171
21,22,88.52,17.74038928747177
22,23,88.37,17.486827060580254
23,24,88.64,16.88030219078064
24,25,88.75,16.83346176147461
25,26,88.78,16.440686456859112
26,27,88.66000000000001,16.533568628132343
27,28,88.85,16.381727382540703
28,29,88.86,16.21119710057974
29,30,88.77000000000001,16.33020433038473
