,epoch,accuracy,loss
0,1,50.01,150.36737668514252
1,2,57.709999999999994,112.60076016187668
2,3,58.17,100.1603593826294
3,4,67.96,91.10409408807755
4,5,64.18,85.7755274772644
5,6,67.02,81.70046126842499
6,7,62.69,77.7696083188057
7,8,69.28,74.3889342546463
8,9,70.52000000000001,73.52160722017288
9,10,69.17999999999999,69.56366884708405
10,11,71.45,67.99216151237488
11,12,72.44,67.58967822790146
12,13,71.06,65.63170170783997
13,14,74.16,63.80840843915939
14,15,79.73,56.29802131652832
15,16,79.97999999999999,53.975955337285995
16,17,80.07,53.3477458357811
17,18,80.0,52.81817838549614
18,19,80.21000000000001,52.363849461078644
19,20,80.46,51.82724076509476
20,21,80.89,51.44926616549492
21,22,80.46,51.058245092630386
22,23,80.89,50.506715923547745
23,24,81.07,49.677198112010956
24,25,81.08,49.427348256111145
25,26,81.2,49.239618092775345
26,27,81.17,49.215241104364395
27,28,81.17,49.365029364824295
28,29,81.05,49.35888174176216
29,30,81.13,49.04431402683258
