,epoch,accuracy,loss
0,1,51.839999999999996,111.88068813085556
1,2,67.25999999999999,74.98552399873734
2,3,72.41,61.17889454960823
3,4,77.74,53.427073150873184
4,5,76.48,48.91781559586525
5,6,79.07,46.23066744208336
6,7,79.7,43.63909196853638
7,8,78.46,41.143612802028656
8,9,81.47999999999999,40.14921870827675
9,10,83.1,38.19127896428108
10,11,81.95,37.51340243220329
11,12,76.42,37.52338129281998
12,13,81.03,36.86358034610748
13,14,81.39999999999999,37.38278469443321
14,15,86.27,30.75370168685913
15,16,86.42999999999999,28.786502927541733
16,17,86.61999999999999,28.169323652982712
17,18,86.7,27.656677171587944
18,19,86.81,27.25350247323513
19,20,86.91,26.849783077836037
20,21,86.72999999999999,26.654060050845146
21,22,87.03,26.466766625642776
22,23,86.8,25.955211147665977
23,24,87.03999999999999,25.565952867269516
24,25,86.92999999999999,25.57078191637993
25,26,86.99,25.581840336322784
26,27,87.06,25.38395643234253
27,28,87.13,25.48775941133499
28,29,87.07000000000001,25.291298881173134
29,30,87.07000000000001,25.312426522374153
