,epoch,accuracy,loss
0,1,44.55,149.55365681648254
1,2,59.74,114.4359781742096
2,3,56.84,99.08764630556107
3,4,63.800000000000004,90.92280250787735
4,5,63.449999999999996,85.55472618341446
5,6,65.55,80.1500393152237
6,7,66.97,77.5074622631073
7,8,71.14,74.55806463956833
8,9,68.94,72.20945876836777
9,10,70.42,70.63688379526138
10,11,70.0,68.73741781711578
11,12,72.97,67.18730193376541
12,13,69.69,65.58746886253357
13,14,72.49,64.97295594215393
14,15,79.22,57.38505506515503
15,16,79.5,55.28528809547424
16,17,80.10000000000001,54.53581815958023
17,18,79.57,53.637942373752594
18,19,79.72,53.3166726231575
19,20,79.97,52.861787527799606
20,21,80.08999999999999,52.60079976916313
21,22,80.35,52.300147384405136
22,23,79.95,51.998055547475815
23,24,80.34,50.93263867497444
24,25,80.58,50.78051674365997
25,26,80.58,50.723211735486984
26,27,80.58,50.46554896235466
27,28,80.67,50.47644919157028
28,29,80.76,50.492100805044174
29,30,80.63,50.44444850087166
