,epoch,accuracy,loss
0,1,53.52,149.70531523227692
1,2,64.18,108.20091772079468
2,3,65.98,91.49666166305542
3,4,61.629999999999995,80.72307705879211
4,5,64.0,72.85461813211441
5,6,71.99,67.67144918441772
6,7,69.42,63.84874415397644
7,8,69.85,60.686359614133835
8,9,75.01,57.220514953136444
9,10,73.89,54.51356253027916
10,11,78.64999999999999,52.93418088555336
11,12,77.69,49.570869356393814
12,13,76.72,47.78192958235741
13,14,77.3,47.13670435547829
14,15,85.11999999999999,37.67058151960373
15,16,85.35000000000001,34.8911315202713
16,17,85.66,33.47665825486183
17,18,85.89,33.03393189609051
18,19,85.66,32.163314640522
19,20,85.42,31.408331647515297
20,21,85.92,30.851724952459335
21,22,85.97,30.800445079803467
22,23,85.99,30.008449882268906
23,24,86.44,28.575084254145622
24,25,86.42999999999999,28.255024909973145
25,26,86.69,28.24871075153351
26,27,86.57000000000001,27.847935661673546
27,28,86.79,27.98026491701603
28,29,86.55000000000001,27.82215017080307
29,30,86.63,27.90315282344818
