,epoch,accuracy,loss
0,1,48.92,156.9467762708664
1,2,51.99,130.94244837760925
2,3,57.489999999999995,121.30928337574005
3,4,60.81999999999999,115.8448314666748
4,5,56.489999999999995,111.75997412204742
5,6,58.01,110.1778729557991
6,7,58.06,107.43274939060211
7,8,60.11,105.02096432447433
8,9,55.17999999999999,104.95191150903702
9,10,58.26,103.48100769519806
10,11,55.66,101.62920421361923
11,12,65.33,100.82606929540634
12,13,62.839999999999996,100.10120922327042
13,14,63.739999999999995,99.17564582824707
14,15,67.67999999999999,94.06552052497864
15,16,67.84,92.12827014923096
16,17,68.41000000000001,91.88462156057358
17,18,68.56,91.56503409147263
18,19,68.36,91.27306538820267
19,20,68.63,91.08731973171234
20,21,68.08,90.58235824108124
21,22,67.83,90.82046276330948
22,23,68.44,90.52139019966125
23,24,68.75,89.67773777246475
24,25,69.01,89.63458925485611
25,26,68.83,89.73236173391342
26,27,68.89999999999999,89.53131300210953
27,28,68.67,89.6004992723465
28,29,68.76,89.80876570940018
29,30,68.96,89.58214217424393
