,epoch,accuracy,loss
0,1,50.449999999999996,151.27803492546082
1,2,46.14,121.40468037128448
2,3,53.7,111.59479796886444
3,4,61.94,106.28410369157791
4,5,62.150000000000006,101.72257590293884
5,6,57.48,99.43905377388
6,7,59.13,96.37951445579529
7,8,61.59,95.12028670310974
8,9,66.86999999999999,93.08930397033691
9,10,63.91,91.43488627672195
10,11,65.05,92.37879401445389
11,12,63.260000000000005,89.95176464319229
12,13,65.53,89.49662160873413
13,14,65.97,88.7029002904892
14,15,71.11,82.16622006893158
15,16,71.39999999999999,80.66722285747528
16,17,71.28999999999999,79.95766061544418
17,18,71.49,79.62248289585114
18,19,72.09,79.15288001298904
19,20,72.06,78.71182262897491
20,21,71.78999999999999,78.6481631398201
21,22,71.67,78.24191981554031
22,23,71.38,78.26967185735703
23,24,72.39,77.42448049783707
24,25,72.22,77.16552823781967
25,26,72.11,77.29752683639526
26,27,72.26,77.16749143600464
27,28,72.28999999999999,77.36444675922394
28,29,72.37,77.13000327348709
29,30,72.36,77.196781873703
