,epoch,accuracy,loss
0,1,55.13,145.848686337471
1,2,59.660000000000004,108.31436514854431
2,3,61.8,93.69025242328644
3,4,66.09,82.76635909080505
4,5,68.55,77.35885435342789
5,6,67.44,71.83713740110397
6,7,70.37,68.04439467191696
7,8,74.27,65.6976426243782
8,9,75.14,63.3559695482254
9,10,72.63,60.14740055799484
10,11,74.47,58.476975440979004
11,12,75.64999999999999,56.78201228380203
12,13,77.44,55.94393175840378
13,14,78.61,54.93804255127907
14,15,82.67,46.01598319411278
15,16,82.66,43.78559070825577
16,17,82.88,42.720037281513214
17,18,83.05,41.81325250864029
18,19,83.28,41.46627268195152
19,20,83.17,40.78904274106026
20,21,83.41,40.66109311580658
21,22,83.3,39.854844719171524
22,23,83.32000000000001,39.53542631864548
23,24,83.78999999999999,38.62369251251221
24,25,83.82,38.119600147008896
25,26,83.8,38.13400748372078
26,27,83.76,37.8548104763031
27,28,83.86,37.912340968847275
28,29,83.93,38.01865643262863
29,30,83.91,37.905482560396194
