,epoch,accuracy,loss
0,1,67.16,115.71617865562439
1,2,70.43,78.35306239128113
2,3,67.58999999999999,67.33122491836548
3,4,67.64,60.23507446050644
4,5,77.82,55.14343738555908
5,6,73.13,52.21611088514328
6,7,76.98,49.48738503456116
7,8,78.91,48.45171323418617
8,9,80.30000000000001,46.669095039367676
9,10,76.17,45.662591487169266
10,11,79.46,45.288993656635284
11,12,79.32000000000001,44.32247802615166
12,13,79.16,43.65976357460022
13,14,77.09,44.02616477012634
14,15,84.98,37.613167226314545
15,16,85.63,35.76547455787659
16,17,85.38,34.87636634707451
17,18,85.58,34.31158697605133
18,19,85.53,33.824835151433945
19,20,85.72999999999999,33.885571867227554
20,21,85.54,33.54556801915169
21,22,85.22,33.47379958629608
22,23,85.82,33.403850585222244
23,24,85.85000000000001,32.467718213796616
24,25,85.78,32.27707690000534
25,26,85.91,31.87506639957428
26,27,85.78,32.21947160363197
27,28,85.71,32.143527418375015
28,29,85.76,32.19820362329483
29,30,85.78,32.04851642251015
