,epoch,accuracy,loss
0,1,56.92,148.83716428279877
1,2,57.68,109.68446063995361
2,3,60.08,91.55586314201355
3,4,64.23,80.59544384479523
4,5,69.99,73.77327901124954
5,6,68.94,68.37871289253235
6,7,72.78,63.71335393190384
7,8,71.00999999999999,61.179186046123505
8,9,73.77,57.84995537996292
9,10,76.01,54.609619319438934
10,11,75.66000000000001,52.850125163793564
11,12,77.35,51.038457691669464
12,13,79.25999999999999,49.4996734559536
13,14,80.99,47.670875042676926
14,15,84.28,38.63166841864586
15,16,84.88,35.98731401562691
16,17,85.04,34.56363454461098
17,18,85.25,33.96611940860748
18,19,84.99,33.44861403107643
19,20,85.18,32.882020711898804
20,21,85.57000000000001,32.29898098111153
21,22,85.45,31.693565636873245
22,23,85.11999999999999,31.50358882546425
23,24,86.04,30.237363770604134
24,25,86.19,30.036449775099754
25,26,86.17,29.532327324151993
26,27,86.14,29.615236580371857
27,28,86.11999999999999,29.642545238137245
28,29,86.04,29.19661422073841
29,30,86.1,29.34770631790161
