,epoch,accuracy,loss
0,1,61.970000000000006,103.426926612854
1,2,57.14,83.45214939117432
2,3,65.27,72.70662134885788
3,4,66.11,64.88478946685791
4,5,67.27,59.765473783016205
5,6,72.43,55.01079127192497
6,7,72.33000000000001,51.96910384297371
7,8,77.32,49.21728232502937
8,9,80.77,47.174215883016586
9,10,79.97,43.796199679374695
10,11,80.03,42.476904064416885
11,12,79.63,41.23210710287094
12,13,76.95,39.700155168771744
13,14,77.8,38.87542253732681
14,15,86.83,30.060865819454193
15,16,87.33,27.07922014594078
16,17,87.13,25.97908888757229
17,18,87.62,25.111389562487602
18,19,87.05000000000001,24.49594086408615
19,20,87.31,23.890035048127174
20,21,87.55,23.414870634675026
21,22,87.47,22.925600737333298
22,23,87.63,22.353023871779442
23,24,88.03,21.76248562335968
24,25,88.0,21.38367323577404
25,26,88.05,21.265417367219925
26,27,88.06,21.056815028190613
27,28,88.07000000000001,20.9819655418396
28,29,88.19,20.891454696655273
29,30,88.14,20.7272706925869
