,epoch,accuracy
0,1,20.169999999999998
1,2,33.14
2,3,42.66
3,4,46.53
4,5,50.9
5,6,55.52
6,7,54.900000000000006
7,8,55.44
8,9,55.74
9,10,57.49999999999999
10,11,58.650000000000006
11,12,58.48
12,13,60.95
13,14,58.25
14,15,58.97
15,16,60.480000000000004
16,17,59.08
17,18,62.160000000000004
18,19,61.419999999999995
19,20,61.8
