,epoch,accuracy
0,1,46.75
1,2,53.73
2,3,62.56
3,4,67.93
4,5,69.11
5,6,69.75
6,7,67.94
7,8,73.13
8,9,74.29
9,10,74.51
10,11,73.55000000000001
11,12,75.35
12,13,75.35
13,14,76.09
14,15,75.27000000000001
15,16,77.07000000000001
16,17,75.85
17,18,76.53999999999999
18,19,74.36
19,20,75.86
