,epoch,accuracy
0,1,39.800000000000004
1,2,52.300000000000004
2,3,59.199999999999996
3,4,61.09
4,5,66.0
5,6,69.1
6,7,70.07
7,8,70.04
8,9,70.37
9,10,74.2
10,11,74.26
11,12,72.28999999999999
12,13,76.01
13,14,74.25
14,15,75.13
15,16,75.6
16,17,74.11
17,18,75.76
18,19,76.55
19,20,76.66
