,epoch,accuracy
0,1,45.9
1,2,57.50999999999999
2,3,62.0
3,4,67.38
4,5,69.31
5,6,69.54
6,7,71.55
7,8,73.07000000000001
8,9,73.21
9,10,74.71
10,11,71.96000000000001
11,12,75.18
12,13,74.29
13,14,76.36
14,15,75.03
15,16,76.06
16,17,74.99
17,18,76.24
18,19,77.18
19,20,76.33
