,epoch,accuracy
0,1,49.24
1,2,55.779999999999994
2,3,60.57
3,4,66.58
4,5,67.88
5,6,69.35
6,7,72.23
7,8,71.22
8,9,75.08
9,10,73.0
10,11,75.16000000000001
11,12,76.16000000000001
12,13,74.83
13,14,75.7
14,15,76.83
15,16,75.75
16,17,75.78
17,18,74.86
18,19,75.26
19,20,77.02
